smiles,hit0,hit1
[H]c1nn2nnnc2c(C([H])([H])C([H])([H])N([H])C([H])([H])OC(=O)[C@]2(C([H])([H])[H])N(S(=O)(=O)C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H])c1[H],8um3-a,7ga2-a
[H]O[C@@]1(O)C([H])([H])C2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])[C@]([H])(C(=O)OC([H])([H])[H])C1([H])[H],7g9t-a,7ga1-a
[H]ON1:C(N([H])C(=O)C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])ON:C1C([H])([H])[H],7g9t-a,8v7u-a
[H]C([H])([H])OC(=O)C([H])([H])N(C(=O)N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])C(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(F)C1([H])[H],7g9t-a,7g9m-a
[H]N([H])C([H])([H])C(=O)N([H])[C@@]1([H])C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])C(=O)OC([H])([H])[H])[C@]1([H])OC([H])([H])[H],7g9t-a,5rhg-a
[H]O[C@]1(OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])C(=O)OC([H])([H])[H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])C(=O)OC([H])([H])[H],7g9t-a,7ga2-a
[H]c1c([H])c(C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])C(=O)N([H])C(=O)N2[H])c([H])c([H])c1N(C(=O)C([H])([H])N([H])C(=O)C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H],7g9t-a,8v7r-b
[H]OC(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])[C@@]1([H])C([H])([H])S[C@@]2(C([H])([H])C([H])([H])[C@]([H])(OC([H])([H])[H])[C@]([H])(N([H])C(=O)C([H])([H])N([H])[H])C2([H])[H])C1([H])[H],5rhg-a,7ga1-a
[H]c1c(N([H])C(=O)C([H])([H])N([H])[H])c(OC([H])([H])[H])c([H])c(C([H])([H])C(=O)N([H])c2nc(C([H])([H])[H])no2)c1C([H])([H])[H],5rhg-a,8v7u-a
[H]c1c(N([H])C(=O)N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])c(OC([H])([H])[H])c(N([H])C(=O)C([H])([H])N([H])[H])c([H])c1C([H])([H])[H],5rhg-a,7g9m-a
[H]c1nn2nnnc2c([H])c1N([H])[C@]([H])(C(=O)N([H])c1c([H])c(C([H])([H])[H])c([H])c([H])c1OC([H])([H])[H])N([H])[H],5rhg-a,8um3-a
